ID,Name,Designator,Footprint,Quantity
1,100k,"R1, R3, R10, R11, R12, R13, R18, R19, R20, R21",R0805,10
2,B100K,"CV-1-POT, S-1-POT, CV-2-POT, S-2-POT, CV-3-POT, S-3-POT, CV-4-POT, S-4-POT",9MM_SNAP-IN_POT_3,8
3,10k,VR3,PV36W-MULTITURN-TRIMMER,1
4,THONKICONNNEW,"CLK1, CV1, MAIN-OUT1, CV2, CV3, CV4",THONKICONN-TIGHT,6
5,SUBMINI_SPDT,HOLD1,SUBMINI_TOGGLE,1
6,0.1uF,"C1, C2, C3, C4, C5, C6",C0805,6
7,LED-3MM-RED,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED3MM-STOVEPIPE,8
8,TL074_SMD,"U1D, U2D",SO14,2
9,BC847,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,8
10,6.8k,"R14, R15, R16, R17, R22, R23, R24, R25",R0805,8
11,TL072_SMD,U1,SO08,1
12,X4611WV-04I-C28D40,"H5, H6",HDR-TH_4P-P2.00-V-M,2
13,X4611WV-05I-C28D40,"H7, H8, H9",HDR-TH_5P-P2.00-V-M,3
14,150k,R9,R0805,1
15,100R,R2,R0805,1
16,1uF,"C7, C8",C0805,2
17,1k,"R4, R5",R0805,2
18,AP2210K-ADJTRG1,U2,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1
